99596	111220
41436	99596
41436	111220
32412	99596
32412	111220
20696	99596
20696	111220
74860	99596
74860	111220
86457	99596
86457	111220
15262	41436
15262	99596
20696	41436
32412	41436
41436	86457
41436	74860
41436	86065
86065	99596
15262	32412
20696	32412
32412	74860
32412	86457
32412	86065
15262	20696
20696	86457
20696	74860
20696	86065
74860	86065
74860	86457
86065	86457
15262	86455
41436	86455
15262	86065
18548	20696
18548	41436
20696	86455
20696	32659
32659	41436
32412	86455
32412	32659
18548	32412
86455	86457
18548	86457
32659	86457
74860	86455
41436	65433
65433	74860
9867	41436
9867	74860
41436	60949
60949	74860
18548	74860
32659	74860
12145	41436
12145	74860
9852	41436
9852	74860
86065	86455
18548	86455
32659	86455
18548	32659
60949	65433
12145	65433
9852	65433
9867	60949
9852	9867
9864	9867
9864	41436
9593	9867
9593	41436
9867	12145
9864	60949
12145	60949
9852	60949
9593	12145
9852	12145
9864	12145
9593	9852
9852	9864
9852	51143
9867	51143
9864	17958
9867	17958
9864	62496
9867	62496
9864	86489
9867	86489
9864	86484
9867	86484
9864	51143
9864	86088
9867	86088
9593	9864
9864	86487
9867	86487
9864	86090
9867	86090
9864	49256
9867	49256
9864	86092
9867	86092
9593	49256
9593	86092
9593	51143
9593	86091
9867	86091
9593	86090
9593	86089
9867	86089
9593	86087
9867	86087
9593	86088
9593	62496
12145	86487
12145	51143
12145	62496
51143	86090
17958	51143
51143	86092
51143	86489
51143	86088
51143	86487
49256	51143
51143	86484
51143	62496
17958	62496
17958	86088
62496	86489
62496	86484
62496	86088
9864	86043
62496	86043
62496	86487
62496	86090
49256	62496
62496	86092
9867	86498
62496	86498
62496	86087
62496	86091
86484	86489
86088	86489
86043	86489
86090	86489
86092	86489
86088	86484
86043	86484
86484	86487
86090	86484
86484	86498
86091	86484
51143	86043
86043	86088
86088	86487
86088	86090
49256	86088
86088	86092
86088	86498
86087	86088
86088	86089
86088	86091
86043	86487
86090	86487
86092	86487
86090	86092
86090	86498
86087	86090
9867	86499
86090	86499
86090	86091
86043	86092
86092	86498
86087	86092
86092	86499
86091	86092
86089	86091
86087	86091
86091	86498
86091	86499
86087	86089
86498	86499
